Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
Bukedi,Tororo District,Afia Bora Medical Centre,1,1,,,,
West Nile,Moyo District,Afoji Health Centre II,1,1,0,1,1,-66.7
Kampala,Kampala District,Afram Dental Surgery Health Centre II,,,,,,
South Central,Masaka City,Africa with Love Clinic,,,,,,
Kampala,Kampala District,African Centre for Treatment and Rehabilitation of Torture Victims,,,,,,
Bukedi,Tororo District,Africure Medical Centre,1,1,,,,
Kigezi,Kisoro District,Afya Clinic,1,1,,,,
Tooro,Kasese District,Afya Kamili Health Centre III,1,1,,,,
Kampala,Kampala District,Aga Khan Acacia Clinic,1,1,,,,
Kampala,Kampala District,Aga Khan Bugolobi Clinic,,,,,,
Kampala,Kampala District,Aga Khan DTB Clinic,1,1,,,,
South Central,Wakiso District,Agali Awamu Medical Health Centre III,,,,,,
Lango,Lira District,Agali Health Centre III,1,1,-73,90,90,-29.8
Kampala,Kampala District,Agali Top Quality Clinic,1,1,,,,
Kampala,Kampala District,Agaliawamu Clinic,1,1,,,,
Lango,Apac District,Aganga Health Centre II,1,1,-30,30,30,13.3
Lango,Kole District,Agape Drugshop,,,,,,
Kampala,Kampala District,Agape Medical Centre,1,0,,,,
South Central,Wakiso District,Agape Medical Health Centre III,,,,,,
North Central,Kiboga District,Agape Nursing Home,1,1,18,9,9,
Teso,Kumi District,Agaria Health Centre II,1,1,-22,45,45,862.5
Lango,Oyam District,Ageno Drugshop,,,,,,
South Central,Wakiso District,Ages Health Care Health Centre II,1,1,14,6,6,20.8
Tooro,Fort Portal City,Ageteraine Nursing Home Health Centre II,1,0,,,,
Kampala,Kampala District,Aggie Pharmacy & Clinic,1,1,,,,
West Nile,Zombo District,Agiermach Health Centre III,1,1,-17,47,47,21.1
Teso,Soroti District,Agirigiroi Health Centre II,1,1,30,33,33,-62.9
West Nile,Adjumani District,Agojo Health Centre II,1,1,-100,16,16,42.4
Teso,Kapelebyong District,Agonga Health Centre II,1,1,4,22,22,24.2
Acholi,Gulu City,Agonga Karine Community Health Centre II,1,1,-24,52,52,0
Acholi,Lamwo District,Agoro Health Centre III,1,1,3,37,37,
Teso,Ngora District,Agu Health Centre III,1,1,-4,56,56,7.2
Bukedi,Pallisa District,Agule Community Health Centre III,1,1,14,12,12,
Bukedi,Pallisa District,Agule Health Centre III,1,1,-4,88,88,-13.4
Bukedi,Pallisa District,Agule Prisons Health Centre II,1,1,,,,
Lango,Oyam District,Agulurude Health Centre III,1,1,-37,63,63,13.7
Teso,Kumi District,Agurut Health Centre II,1,1,24,31,31,0.89
Lango,Dokolo District,Agwatta Health Centre III,1,1,-32,53,53,4.7
South Central,Wakiso District,Ahamadine Day Care Clinic,,,,,,
Bugisu,Mbale City,Ahamadiya Hospital,1,1,-79,25,25,41.7
South Central,Kalungu District,AHF Uganda Care,1,1,,,,
Kampala,Kampala District,Ahumuza Medical Clinic,1,0,,,,
Tooro,Kamwenge District,Ahumuza Winnie Consultants Clinic,,,,,,
Kampala,Kampala District,Aia Health Centre II,1,0,,,,
Teso,Kumi District,Aica Medical Centre,,,,,,
West Nile,Arua City,AIDS Information Centre (Arua),1,1,,,,
Busoga,Jinja City,AIDS Information Centre (Jinja),1,1,,,,
Kigezi,Kabale District,AIDS Information Centre (Kabale),1,1,,,,
Kampala,Kampala District,AIDS Information Centre (Kampala),1,1,,,,
Lango,Lira City,AIDS Information Centre (Lira),1,1,,,,
Bugisu,Mbale City,AIDS Information Centre (Mbale),1,1,,0,0,
Ankole,Mbarara City,AIDS Information Centre (Mbarara),1,1,,0,0,
Teso,Soroti City,AIDS Information Centre (Soroti),1,1,,,,
West Nile,Moyo District,Aim Medical Centre,1,1,,,,
Teso,Kapelebyong District,Airabet Health Centre II,1,1,-43,30,30,13
Kampala,Kampala District,Aisha Domiciliary Clinic,1,1,-100,4,4,
Lango,Oyam District,Ajaga Health Centre III,1,1,26,34,34,-10
Kampala,Kampala District,Ajax Dental Clinic,,,,,,
Teso,Kapelebyong District,Ajeleik Health Centre II,1,1,0,32,33,-48.3
Teso,Ngora District,Ajeluk Health Centre III,1,1,0,63,63,-596.3
West Nile,Adjumani District,Ajeri Health Centre II,1,1,0,1,1,91.4
West Nile,Arua District,Ajia Health Centre III,1,1,16,16,16,-750
West Nile,Maracha District,Ajikoro Health Centre III,1,1,54,17,17,3.2
West Nile,Adjumani District,Ajugopi Health Centre II,1,1,44,9,9,24
Kampala,Kampala District,Aka Medical Care Centre,,,,,,
Lango,Kwania District,Akali Health Centre III,1,1,2,88,88,7
Lango,Kole District,Akalo Health Centre III,1,1,-6,127,127,-42.3
Busoga,Jinja District,Akambye Health,,,,,,
Lango,Lira District,Akangi Health Centre II,1,1,2,51,51,7.1
Kampala,Kampala District,Akankwasa Dental Clinic,1,1,,,,
Teso,Amuria District,Akeriau Health Centre III,1,1,30,49,49,21.3
Teso,Katakwi District,Aketa Health Centre III,1,1,-4,47,47,-67.5
Lango,Lira City,Akia St. Francis Health Centre II,1,1,0,35,35,-170
Teso,Kumi District,Akide Health Centre II,1,1,-14,24,24,6.4
Acholi,Kitgum District,Akilok Health Centre II,1,1,0,30,30,-1.2
West Nile,Madi-Okollo District,Akino Health Centre II,1,1,41,13,14,0
Bukedi,Pallisa District,Akisim Health Centre III,1,1,0,45,40,16.1
Teso,Serere District,Akoboi (Serere) Health Centre II,1,1,-29,31,31,25.7
Teso,Katakwi District,Akoboi Health Centre II,1,1,-7,60,60,-53.4
Lango,Apac District,Akokoro Health Centre III,1,1,-37,100,100,-52
Kampala,Kampala District,Akugoba Domecillian Health Centre II,1,1,28,28,29,10.9
Kampala,Kampala District,Akugoba Health Centre III,,,,,,
South Central,Wakiso District,Akugoba Medical Clinic,1,1,-25,10,10,-10
Acholi,Kitgum District,Akuna Laber Health Centre III,1,1,11,25,25,
Teso,Bukedea District,Akuoro Health Centre III,1,1,28,36,32,-171.8
Lango,Alebtong District,Akura Health Centre III,1,1,-17,34,34,17
Teso,Katakwi District,Akurao Health Centre II,1,1,-1700,18,18,
Acholi,Kitgum District,Akurumor Health Centre II,1,1,50,6,6,156
Lango,Oyam District,Akwangi Health Centre II,1,1,-14,50,50,13.5
Kampala,Kampala District,Akwata Empora Clinic,1,0,,,,
Bunyoro,Kagadi District,Akwehaire Maternity Clinic,1,1,,,,
West Nile,Nebbi District,Akworo Health Centre III,1,1,-8,53,53,613.3
Acholi,Lamwo District,Akworo Health Centre III,1,1,,1,1,99
Kampala,Kampala District,Al Shaafi Medical And Dental Clinic,1,0,,,,
North Central,Buikwe District,Al-Hijira Health Centre III,1,1,34,23,24,-12.5
Busoga,Jinja City,Al-Shafa Hospital,1,1,11,16,16,2
Lango,Apac District,Alado Health Centre II,1,1,-13,34,34,-17.5
Karamoja,Amudat District,Alakas Health Centre II,1,1,-67,102,102,5.4
West Nile,Zombo District,Alangi Health Centre III,1,1,26,46,46,12.3
Lango,Otuke District,Alango Health Centre II,1,1,27,8,8,42
Lango,Alebtong District,Alanyi Health Centre III,1,1,1,80,80,31.5
Lango,Oyam District,Alao Drugshop,,,,,,
Lango,Oyam District,Alao Health Centre II,1,1,-17,21,21,24.7
Lango,Dokolo District,Alapata Health Centre II,1,1,14,12,12,44.4
Lango,Alebtong District,Alebtong Health Centre IV,1,1,0,112,112,-9.5
Lango,Alebtong District,Alebtong Prisons Health Centre II,1,1,,,,
Lango,Alebtong District,Alelluyah Joint Maternity Clinic,1,1,,,,
Lango,Amolatar District,Alemere Medical Aid Health Centre II,1,1,5,38,38,288.3
Tooro,Kabarole District,Alenda Medical Centre,1,1,-167,8,8,
Lango,Apac District,Alenga Health Centre III,1,1,,,,
Teso,Amuria District,Alere (Amuria) Health Centre III,1,1,-24,51,51,-5.3
West Nile,Adjumani District,Alere Health Centre II,1,1,-25,15,15,78
Karamoja,Abim District,Alerek Health Centre III,1,1,0,53,53,-51.4
Acholi,Nwoya District,Alero Health Centre III,1,1,-2,119,119,-12.6
Kampala,Kampala District,Alexandra Medical Centre,1,1,-100,4,4,0
South Central,Wakiso District,Alexas Medical Health Centre III,1,1,42,11,11,
Kampala,Kampala District,Alfa Dental Clinic,1,1,,,,
Kampala,Kampala District,Ali Care Medical Centre,,,,,,
Kampala,Kampala District,Ali Medical Services Health Centre II,1,1,,,,
Teso,Katakwi District,Aliakamer Health Centre III,1,1,-14,24,24,2.7
West Nile,Yumbe District,Aliapi Health Centre II,1,1,22,65,65,13.6
West Nile,Obongi District,Aliba Health Centre III,1,1,41,19,19,-178.6
Lango,Lira District,Alik Health Centre III,1,1,6,91,91,38.2
Acholi,Pader District,Alim Health Centre II,1,1,-175,11,11,64
Bunyoro,Masindi District,Alimugonza Health Centre II,1,1,35,15,15,7.8
Kampala,Kampala District,Alinda Medicare Clinic,1,0,,,,
Kampala,Kampala District,Alinda Orthopaedic Clinic,,,,,,
Lango,Oyam District,Alira Health Centre II,1,1,4,27,27,55
Kampala,Kampala District,Alison Medical Centre,1,0,,,,
Kampala,Kampala District,Alison Medical Centre,1,0,,,,
Teso,Kapelebyong District,Alito Health Centre II,1,1,-19,25,25,16.7
Lango,Kole District,Alito Health Centre III,1,1,-4,161,161,11.8
Lango,Kole District,Alito Medical Clinic,1,1,,,,
Kampala,Kampala District,Alive Medical Services Clinic,1,1,75,2,2,0
Lango,Otuke District,Aliwang Health Centre III,1,1,12,23,23,-44
West Nile,Adjumani District,Aliwara Health Centre II,1,1,18,14,14,3.9
Bukedi,Kibuku District,All Saints Buchanagandi Health Centre III,1,1,4,45,45,5.3
Kampala,Kampala District,All Saints Clinic (Makindye),1,1,,,,
South Central,Masaka City,All Saints Clinic (Nyendo-Senyange),1,1,,,,
Kampala,Kampala District,All Saints Medical Centre,,,,,,
Kampala,Kampala District,All Saints Medical. Centre,,,,,,
South Central,Wakiso District,Allah Is Great Clinic,1,1,,,,
North Central,Mukono District,Allan Galpin Health Centre II,1,1,,,,
Tooro,Kyegegwa District,Allelua G Health Centre II,1,1,,,,
Tooro,Kasese District,Alleluah Med. Health Centre III,1,1,38,5,8,63.3
South Central,Lyantonde District,Allena Domiciliary,1,1,50,2,2,
Kampala,Kampala District,Allied Consultancy Clinic,1,0,,,,
Kampala,Kampala District,Allied Family Medical Clinic,,,,,,
Busoga,Bugiri District,Allied General Medical Clinic,1,1,-62,26,26,
Kampala,Kampala District,Allied Health Clinic,,,,,,
Ankole,Ntungamo District,Allied Heath Proffessionals,1,1,,,,
Kampala,Kampala District,Allied Life Care Clinic,,,,,,
Kampala,Kampala District,Allied Medical Clinic,1,0,,,,
Teso,Kumi District,Almata Medical Services Health Centre II,,,,,,
Busoga,Jinja City,Almeca Medicare Health Centre III,1,1,,,,
Kampala,Kampala District,Almega Medical Centre,1,0,,,,
West Nile,Yumbe District,Alnoor Health Centre II,1,1,3,69,69,3.7
Lango,Alebtong District,Aloi Mission Health Centre III,1,1,8,35,35,73.5
Acholi,Gulu City,Alokolum Health Centre II,1,1,,,,
Lango,Oyam District,Aloni Health Centre II,1,1,19,13,13,16.7
Acholi,Agago District,Alop Health Centre II,1,1,67,10,10,-60
Kampala,Kampala District,Alpha 2 Clinic,,,,,,
Kampala,Kampala District,Alpha And Omega Clinic,1,0,,,,
Kampala,Kampala District,Alpha and Omega Clinic,,,,,,
Kampala,Kampala District,Alpha and Omega Medical Centre,,,,,,
South Central,Mpigi District,Alpha and Omega Medical Centre,1,1,,,,
Kampala,Kampala District,Alpha Clinic (Kawempe),,,,,,
Kampala,Kampala District,Alpha Clinic (Luzira),1,0,,,,
Kampala,Kampala District,Alpha Clinical Laboratories,,,,,,
Lango,Apac District,Alpha Drugshop,,,,,,
South Central,Wakiso District,Alpha Health Care Medical Clinic,1,1,0,5,5,0
Busoga,Bugweri District,Alpha Medical Centre,1,1,,,,
Kampala,Kampala District,Alpha Medical Centre (Banda),1,1,,,,100
Kampala,Kampala District,Alpha Medical Centre (Lukuli),,,,,,
Kampala,Kampala District,Alpha Medical Centre (Makindye ),1,0,,,,
Kampala,Kampala District,Alpha Medical Centre (Mulago),,,,,,
Lango,Oyam District,Alpha Medical Centre (Oyam),1,0,,,,
Bunyoro,Kiryandongo District,Alpha Medical Centre(Bweyale Town Council),1,1,,,,
Kampala,Kampala District,Alpha Medical Clinic (Bbunga),,,,,,
Kampala,Kampala District,Alpha Medical Clinic (Kasubi),1,0,,,,
Kampala,Kampala District,Alpha Medical Clinic (Luwafu),1,0,,,,
Kampala,Kampala District,Alpha Medical Clinic (Ntinda),,,,,,
Tooro,Fort Portal City,Alpine Clinic,1,1,,,,
Kampala,Kampala District,Alpine Medical Centre,1,0,,,,
Lango,Apac District,Alton Drugshop,,,,,,
Bunyoro,Kibaale District,Alustin Health Centre III,1,1,5,40,40,5.8
Teso,Kaberamaido District,Alwa Health Centre III,1,1,-59,130,130,-15.7
West Nile,Pakwach District,Alwi Health Centre III,1,1,11,50,50,11.6
Lango,Apac District,Alworoceng Health Centre II,1,1,2,53,53,3.2
Lango,Amolatar District,Alyecmeda Health Centre III,1,1,-13,60,60,-5.6
Lango,Lira District,Amach Health Centre IV,1,1,24,59,59,-4.5
Kampala,Kampala District,Amadeo Clinic,1,1,,,,
Lango,Amolatar District,Amai Community Hospital,1,1,19,69,69,15.8
Karamoja,Nakapiripirit District,Amaler Health Centre III,1,1,0,48,48,50.9
Bugisu,Bukwo District,Amanang Health Centre III,1,1,5,20,20,14.3
Kampala,Kampala District,Amani Family Health Centre,1,1,,,,
West Nile,Maracha District,Amanipi Health Centre II,1,1,20,8,8,-115.4
West Nile,Yumbe District,Amanyiri Health Centre III,1,0,,,,
Teso,Kapelebyong District,Amaseniko Health Centre II,1,1,6,34,34,3.6
South Central,Wakiso District,Amazing Grace Clinic,,,,,,
Ankole,Ntungamo District,Amazing Grace Domiciliary Clinic,1,1,-100,2,2,
Kampala,Kampala District,Amazing Grace Health Clinic,1,0,,,,
Kampala,Kampala District,Amazion Medical Centre,1,0,,,,
Kampala,Kampala District,Ambassador of God Clinic,,,,,,
West Nile,Yumbe District,Ambelechu Health Centre II,1,1,41,35,35,-5.4
Kampala,Kampala District,Amber Medical Care Health Centre,,,,,,
Karamoja,Napak District,Amedek Health Centre II,1,1,14,24,24,-44
Kampala,Kampala District,Amen Doctors Clinic,,,,,,
Kampala,Kampala District,Ameny Dental Clinic,,,,,,
Kampala,Kampala District,Ami Clinic,,,,,,
Teso,Amuria District,Amilmil Health Centre II,1,1,42,15,15,34.8
Lango,Apac District,Amilo Bioswa Drugshop,,,,,,
Acholi,Pader District,Amilobo Health Centre II,1,1,72,5,10,7.5
Teso,Bukedea District,Aminit Health Centre II,1,1,,,,
Kampala,Kampala District,Amirah Health Care,1,0,,,,
Karamoja,Abim District,Amita Prisons Health Centre II,1,1,,1,1,80
Lango,Apac District,Amola Drugshop,,,,,,
Lango,Amolatar District,Amolatar Health Centre IV,1,1,32,34,34,47.5
Lango,Amolatar District,Amolatar Prisons Health Centre II,1,1,,,,
Lango,Amolatar District,Amolatar SDA Community Health Center II,1,1,,,,
Teso,Amuria District,Amolo Health Centre II,1,1,0,44,44,-14.2
Bukedi,Tororo District,Amoni Health Centre II,1,1,33,8,8,46.7
Bukedi,Busia District,Amonikakinei Health Centre II,1,1,7,25,25,12.2
West Nile,Pakwach District,Amor Health Centre II,1,1,10,27,27,-7.3
South Central,Lyantonde District,Amos Drug Shop,,,,,,
Kampala,Kampala District,Amsam Medical Centre,1,1,,,,
Lango,Lira City,Amuca SDA Health Centre III,1,1,-45,29,29,37.3
Teso,Amuria District,Amucu Health Centre III,1,1,31,31,31,-19
Lango,Dokolo District,Amuda Health Centre II,1,1,-7,43,43,0
Karamoja,Amudat District,Amudat Health Centre II,1,1,-46,35,35,9
Karamoja,Amudat District,Amudat Hospital,1,1,0,84,84,-23.4
Karamoja,Amudat District,Amudat Joint Clinic,1,1,,,,
Lango,Alebtong District,Amugu Health Centre III,1,1,19,85,85,-80.6
Bugisu,Kapchorwa District,Amukol Health Centre II,1,1,-8,26,26,-23.3
Lango,Otuke District,Amunga Health Centre II,1,1,-7,16,16,66.9
Teso,Amuria District,Amuria COU Health Centre II,1,1,18,14,11,
Teso,Amuria District,Amuria General Hospital,1,1,29,64,64,
Teso,Amuria District,Amuria Prisons Health Centre II,1,1,,,,
West Nile,Terego District,"Amuru (Ofua 4,5,6) Health Centre II",1,1,,,,100
Acholi,Amuru District,Amuru Health Centre II,1,1,-27,28,28,90.7
Acholi,Amuru District,Amuru Lacor Health Centre III,1,1,44,75,77,8.7
Acholi,Amuru District,Amuru Prisons Health Centre II,1,1,,,,
Bukedi,Tororo District,Amurwo Health Centre II,1,1,12,15,15,52
Teso,Amuria District,Amusus CBO Health Centre II,,,,,,
Teso,Amuria District,Amusus Health Centre III,1,1,9,48,48,21.8
Lango,Oyam District,Amwa Health Centre II,1,1,38,23,23,21.8
Lango,Dokolo District,Amwoma Health Centre III,1,1,5,57,57,5.6
West Nile,Zombo District,Amwonyo Health Centre II,1,1,36,25,24,17.3
Acholi,Agago District,Amyel Health Centre II,1,1,41,10,10,37.1
Kampala,Kampala District,Anajimu Medical Centre,1,1,,,,
Acholi,Nwoya District,Anaka General Hospital,1,1,29,130,130,-18.7
Acholi,Lamwo District,Anaka Health Centre II,1,1,46,7,7,59.4
Lango,Amolatar District,Anamwany Health Centre III,1,1,12,59,59,30.8
Lango,Alebtong District,Anara Health Centre III,1,1,-24,36,36,13.8
South Central,Wakiso District,Anastasiass Mwebaza Health Centre II,,,,,,
North Central,Mubende District,Anbar Hospital,1,1,13,7,7,44
West Nile,Terego District,Andelizu Health Centre II,1,1,-33,28,28,
West Nile,Arua City,Andelizu Medical Centre,1,1,,,,
Tooro,Bunyangabu District,Andre Medical Health Centre II,1,1,,,,
South Central,Wakiso District,Andrena Medical Health Centre III,,,,,,
Kampala,Kampala District,Andrew Medical Centre,1,1,,,,
Lango,Otuke District,Anepmoroto Health Centre III,1,1,0,22,22,23.3
Kampala,Kampala District,Anex Medical Centre,1,0,,,,
Acholi,Pader District,Angagura Health Centre III,1,1,11,34,34,85.4
West Nile,Nebbi District,Angal Hospital,1,1,34,52,52,-7.9
Acholi,Gulu District,Angaya Health Centre III,1,1,-47,22,23,-16
South Central,Lyantonde District,Angel Drug Shop,,,,,,
Kampala,Kampala District,Angelina Domiciliary Clinic,,,,,,
South Central,Wakiso District,Angelina General Clinic,1,1,,,,
Kampala,Kampala District,Angelina Maternity Clinic,,,,,,
Ankole,Mbarara District,Angella Domiciliary Health Centre II,1,1,,,,
South Central,Wakiso District,Angels Of Hope Medical Clinic,,,,,,
Teso,Kapelebyong District,Angerepo Health Centre II,1,1,-83,22,22,18.1
Lango,Alebtong District,Angetta Health Centre III,1,1,-5,59,59,62.8
Acholi,Pader District,Angole Health Centre II,1,1,33,4,4,-20
Lango,Kwania District,Aninolal Health Centre II,1,1,-5,45,45,-232.5
Ankole,Mbarara City,Ankole Hospital,1,1,,,,
Ankole,Bushenyi District,Ankole Tea Factory Health Centre II,1,1,-133,7,7,0
Ankole,Sheema District,Ankore Coffee Producers Medical Health Centre II,1,1,,,,
Kampala,Kampala District,Ann Medical Centre,,,,,,
South Central,Wakiso District,Anna Grace Medical Health Centre II,1,0,-77,23,23,
