Region,District,HF,Expected reports,Actual reports,dropout rate,DPT3,PCV 3,wastage rate
Lango,Lira City,Akia St. Francis Health Centre II,3,2,17,82,82,-270
Teso,Kumi District,Akide Health Centre II,3,3,3,63,63,36
Acholi,Kitgum District,Akilok Health Centre II,3,2,8,84,84,61.1
West Nile,Madi-Okollo District,Akino Health Centre II,3,2,-2,83,90,47.9
Bukedi,Pallisa District,Akisim Health Centre III,3,3,12,99,94,24.9
Teso,Serere District,Akoboi (Serere) Health Centre II,3,3,19,68,68,-13.3
Teso,Katakwi District,Akoboi Health Centre II,3,3,0,179,179,-25.5
Lango,Apac District,Akokoro Health Centre III,3,2,44,103,103,-147.6
Kampala,Kampala District,Akugoba Domecillian Health Centre II,3,3,15,79,79,5.1
Kampala,Kampala District,Akugoba Health Centre III,,,,,,
South Central,Wakiso District,Akugoba Medical Clinic,3,2,-43,43,45,-25
Acholi,Kitgum District,Akuna Laber Health Centre III,3,3,7,84,84,
Teso,Bukedea District,Akuoro Health Centre III,3,2,12,97,100,39.1
Lango,Alebtong District,Akura Health Centre III,3,2,16,80,80,-91.1
Teso,Katakwi District,Akurao Health Centre II,3,3,17,25,25,14.8
Acholi,Kitgum District,Akurumor Health Centre II,3,3,16,47,47,350
Lango,Oyam District,Akwangi Health Centre II,3,2,22,101,101,8.3
Kampala,Kampala District,Akwata Empora Clinic,3,2,,,,
Bunyoro,Kagadi District,Akwehaire Maternity Clinic,3,2,,,,
West Nile,Nebbi District,Akworo Health Centre III,3,3,21,82,82,-35.7
Acholi,Lamwo District,Akworo Health Centre III,3,2,0,2,2,
Kampala,Kampala District,Al Shaafi Medical And Dental Clinic,3,2,,,,
North Central,Buikwe District,Al-Hijira Health Centre III,3,2,9,69,80,0
Busoga,Jinja City,Al-Shafa Hospital,3,2,-19,38,38,-1
Lango,Apac District,Alado Health Centre II,3,2,-20,85,85,-36.9
Karamoja,Amudat District,Alakas Health Centre II,3,2,-31,185,186,4.3
West Nile,Zombo District,Alangi Health Centre III,3,2,21,143,143,12.2
Lango,Otuke District,Alango Health Centre II,3,3,-130,46,46,-1.1
Lango,Alebtong District,Alanyi Health Centre III,3,3,3,233,233,4.7
Lango,Oyam District,Alao Drugshop,,,,,,
Lango,Oyam District,Alao Health Centre II,3,2,31,33,33,9
Lango,Dokolo District,Alapata Health Centre II,3,3,28,31,31,46.7
Lango,Alebtong District,Alebtong Health Centre IV,3,2,11,230,230,-186.8
Lango,Alebtong District,Alebtong Prisons Health Centre II,3,2,,,,
Lango,Alebtong District,Alelluyah Joint Maternity Clinic,3,2,,,,
Lango,Amolatar District,Alemere Medical Aid Health Centre II,3,2,4,72,71,
Tooro,Kabarole District,Alenda Medical Centre,3,2,-20,6,1,
Lango,Apac District,Alenga Health Centre III,3,1,3,39,39,0
Teso,Amuria District,Alere (Amuria) Health Centre III,3,3,-4,219,220,-0.68
West Nile,Adjumani District,Alere Health Centre II,3,2,20,32,32,43.9
Karamoja,Abim District,Alerek Health Centre III,3,2,2,145,145,-110.6
Acholi,Nwoya District,Alero Health Centre III,3,3,18,263,263,-101
Kampala,Kampala District,Alexandra Medical Centre,3,3,-180,14,14,3.7
South Central,Wakiso District,Alexas Medical Health Centre III,3,2,23,49,49,-44.2
Kampala,Kampala District,Alfa Dental Clinic,3,2,,,,
Kampala,Kampala District,Ali Care Medical Centre,,,,,,
Kampala,Kampala District,Ali Medical Services Health Centre II,3,3,,,,
Teso,Katakwi District,Aliakamer Health Centre III,3,2,22,76,76,28.2
West Nile,Yumbe District,Aliapi Health Centre II,3,2,2,135,135,13
West Nile,Obongi District,Aliba Health Centre III,3,2,21,60,60,6633.3
Lango,Lira District,Alik Health Centre III,3,3,-23,278,278,23.6
Acholi,Pader District,Alim Health Centre II,3,3,17,24,24,-780
Bunyoro,Masindi District,Alimugonza Health Centre II,3,3,22,60,52,-0.5
Kampala,Kampala District,Alinda Medicare Clinic,3,2,,,,
Kampala,Kampala District,Alinda Orthopaedic Clinic,,,,,,
Lango,Oyam District,Alira Health Centre II,3,2,4,65,65,644.1
Kampala,Kampala District,Alison Medical Centre,3,0,,,,
Kampala,Kampala District,Alison Medical Centre,3,0,,,,
Teso,Kapelebyong District,Alito Health Centre II,3,1,21,34,34,20.8
Lango,Kole District,Alito Health Centre III,3,3,-4,398,398,-13.5
Lango,Kole District,Alito Medical Clinic,3,1,,,,
Kampala,Kampala District,Alive Medical Services Clinic,3,3,29,15,5,-6.8
Lango,Otuke District,Aliwang Health Centre III,3,3,4,26,26,
West Nile,Adjumani District,Aliwara Health Centre II,3,2,23,31,31,-20
Bukedi,Kibuku District,All Saints Buchanagandi Health Centre III,3,2,-3,93,93,10.6
Kampala,Kampala District,All Saints Clinic (Makindye),3,1,,,,
South Central,Masaka City,All Saints Clinic (Nyendo-Senyange),3,2,,,,
Kampala,Kampala District,All Saints Medical Centre,,,,,,
Kampala,Kampala District,All Saints Medical. Centre,,,,,,
South Central,Wakiso District,Allah Is Great Clinic,3,2,,,,
North Central,Mukono District,Allan Galpin Health Centre II,3,2,,,,
Tooro,Kyegegwa District,Allelua G Health Centre II,3,1,,,,
Tooro,Kasese District,Alleluah Med. Health Centre III,3,3,-10,22,25,81.5
South Central,Lyantonde District,Allena Domiciliary,3,2,100,,,93.3
Kampala,Kampala District,Allied Consultancy Clinic,3,1,,,,
Kampala,Kampala District,Allied Family Medical Clinic,,,,,,
Busoga,Bugiri District,Allied General Medical Clinic,3,2,-2,63,63,
Kampala,Kampala District,Allied Health Clinic,,,,,,
Ankole,Ntungamo District,Allied Heath Proffessionals,3,2,,,,
Kampala,Kampala District,Allied Life Care Clinic,,,,,,
Kampala,Kampala District,Allied Medical Clinic,3,0,,,,
Teso,Kumi District,Almata Medical Services Health Centre II,,,,,,
Busoga,Jinja City,Almeca Medicare Health Centre III,3,2,,,,
Kampala,Kampala District,Almega Medical Centre,3,0,,,,
West Nile,Yumbe District,Alnoor Health Centre II,3,2,4,142,142,14.9
Lango,Alebtong District,Aloi Mission Health Centre III,3,3,4,149,149,35.4
Acholi,Gulu City,Alokolum Health Centre II,3,1,-25,5,6,-350
Lango,Oyam District,Aloni Health Centre II,3,2,15,35,35,11.5
Acholi,Agago District,Alop Health Centre II,3,3,37,57,57,-8.4
Kampala,Kampala District,Alpha 2 Clinic,,,,,,
Kampala,Kampala District,Alpha and Omega Clinic,,,,,,
Kampala,Kampala District,Alpha And Omega Clinic,3,1,,,,
Kampala,Kampala District,Alpha and Omega Medical Centre,,,,,,
South Central,Mpigi District,Alpha and Omega Medical Centre,3,3,,,,
Kampala,Kampala District,Alpha Clinic (Kawempe),,,,,,
Kampala,Kampala District,Alpha Clinic (Luzira),3,0,,,,
Kampala,Kampala District,Alpha Clinical Laboratories,,,,,,
Lango,Apac District,Alpha Drugshop,,,,,,
South Central,Wakiso District,Alpha Health Care Medical Clinic,3,2,80,4,6,15
Busoga,Bugweri District,Alpha Medical Centre,3,2,,,,
Kampala,Kampala District,Alpha Medical Centre (Banda),3,2,0,1,1,60
Kampala,Kampala District,Alpha Medical Centre (Lukuli),,,,,,
Kampala,Kampala District,Alpha Medical Centre (Makindye ),3,0,,,,
Kampala,Kampala District,Alpha Medical Centre (Mulago),,,,,,
Lango,Oyam District,Alpha Medical Centre (Oyam),3,0,,,,
Bunyoro,Kiryandongo District,Alpha Medical Centre(Bweyale Town Council),3,3,,,,
Kampala,Kampala District,Alpha Medical Clinic (Bbunga),,,,,,
Kampala,Kampala District,Alpha Medical Clinic (Kasubi),3,0,,,,
Kampala,Kampala District,Alpha Medical Clinic (Luwafu),3,0,,,,
Kampala,Kampala District,Alpha Medical Clinic (Ntinda),,,,,,
Tooro,Fort Portal City,Alpine Clinic,3,2,,,,
Kampala,Kampala District,Alpine Medical Centre,3,0,,,,
Lango,Apac District,Alton Drugshop,,,,,,
Bunyoro,Kibaale District,Alustin Health Centre III,3,2,14,80,80,3.4
Teso,Kaberamaido District,Alwa Health Centre III,3,3,13,499,499,-163.1
West Nile,Pakwach District,Alwi Health Centre III,3,2,1,195,195,-19.2
Lango,Apac District,Alworoceng Health Centre II,3,2,-3,99,98,0
Lango,Amolatar District,Alyecmeda Health Centre III,3,3,-11,174,174,-167.8
Lango,Lira District,Amach Health Centre IV,3,2,54,66,66,25.1
Kampala,Kampala District,Amadeo Clinic,3,2,,,,
Lango,Amolatar District,Amai Community Hospital,3,2,-11,304,304,7.4
Karamoja,Nakapiripirit District,Amaler Health Centre III,3,2,0,168,136,-253.1
Bugisu,Bukwo District,Amanang Health Centre III,3,2,4,45,45,5
Kampala,Kampala District,Amani Family Health Centre,3,3,43,8,8,
West Nile,Maracha District,Amanipi Health Centre II,3,3,25,15,15,62.1
West Nile,Yumbe District,Amanyiri Health Centre III,3,1,,,,
Teso,Kapelebyong District,Amaseniko Health Centre II,3,2,13,85,85,1.4
South Central,Wakiso District,Amazing Grace Clinic,,,,,,
Ankole,Ntungamo District,Amazing Grace Domiciliary Clinic,3,3,-57,11,11,-27.3
Kampala,Kampala District,Amazing Grace Health Clinic,3,1,,,,
Kampala,Kampala District,Amazion Medical Centre,3,2,,,,
Kampala,Kampala District,Ambassador of God Clinic,,,,,,
West Nile,Yumbe District,Ambelechu Health Centre II,3,2,-11,97,97,6.2
Kampala,Kampala District,Amber Medical Care Health Centre,,,,,,
Karamoja,Napak District,Amedek Health Centre II,3,2,-12,67,67,-1346.2
Kampala,Kampala District,Amen Doctors Clinic,,,,,,
Kampala,Kampala District,Ameny Dental Clinic,,,,,,
Kampala,Kampala District,Ami Clinic,,,,,,
Teso,Amuria District,Amilmil Health Centre II,3,3,2,57,57,34.9
Lango,Apac District,Amilo Bioswa Drugshop,,,,,,
Acholi,Pader District,Amilobo Health Centre II,3,3,5,63,68,-67.5
Teso,Bukedea District,Aminit Health Centre II,3,2,,,,
Kampala,Kampala District,Amirah Health Care,3,0,,,,
Karamoja,Abim District,Amita Prisons Health Centre II,3,3,71,2,2,62.5
Lango,Apac District,Amola Drugshop,,,,,,
Lango,Amolatar District,Amolatar Health Centre IV,3,3,16,97,97,143.6
Lango,Amolatar District,Amolatar Prisons Health Centre II,3,3,,,,
Lango,Amolatar District,Amolatar SDA Community Health Center II,3,3,,,,
Teso,Amuria District,Amolo Health Centre II,3,3,22,89,89,-40.5
Bukedi,Tororo District,Amoni Health Centre II,3,2,48,13,13,75.5
Bukedi,Busia District,Amonikakinei Health Centre II,3,3,-30,82,82,5.2
West Nile,Pakwach District,Amor Health Centre II,3,3,8,80,80,-33.2
South Central,Lyantonde District,Amos Drug Shop,,,,,,
Kampala,Kampala District,Amsam Medical Centre,3,3,,,,
Lango,Lira City,Amuca SDA Health Centre III,3,3,-4,123,123,14.2
Teso,Amuria District,Amucu Health Centre III,3,3,21,153,153,-149.8
Lango,Dokolo District,Amuda Health Centre II,3,2,4,69,69,7.4
Karamoja,Amudat District,Amudat Health Centre II,3,2,-6,50,50,-383.3
Karamoja,Amudat District,Amudat Hospital,3,2,1,154,154,9.6
Karamoja,Amudat District,Amudat Joint Clinic,3,1,,,,
Lango,Alebtong District,Amugu Health Centre III,3,3,23,266,266,-86
Bugisu,Kapchorwa District,Amukol Health Centre II,3,2,0,48,48,10
Lango,Otuke District,Amunga Health Centre II,3,3,-17,55,55,24.2
Teso,Amuria District,Amuria COU Health Centre II,3,3,17,39,36,
Teso,Amuria District,Amuria General Hospital,3,3,18,122,118,46.2
Teso,Amuria District,Amuria Prisons Health Centre II,3,3,,,,
West Nile,Terego District,"Amuru (Ofua 4,5,6) Health Centre II",3,2,-1800,38,7,
Acholi,Amuru District,Amuru Health Centre II,3,3,15,94,95,52.7
Acholi,Amuru District,Amuru Lacor Health Centre III,3,2,18,175,171,56.8
Acholi,Amuru District,Amuru Prisons Health Centre II,3,3,,0,0,
Bukedi,Tororo District,Amurwo Health Centre II,3,2,-9,36,35,34.4
Teso,Amuria District,Amusus CBO Health Centre II,,,,,,
Teso,Amuria District,Amusus Health Centre III,3,2,-15,113,113,-38.6
Lango,Oyam District,Amwa Health Centre II,3,2,32,66,66,3.1
Lango,Dokolo District,Amwoma Health Centre III,3,3,13,148,148,9.8
West Nile,Zombo District,Amwonyo Health Centre II,3,3,-9,25,36,10
Acholi,Agago District,Amyel Health Centre II,3,2,-21,75,75,-8
Kampala,Kampala District,Anajimu Medical Centre,3,2,,,,
Acholi,Nwoya District,Anaka General Hospital,3,3,6,314,310,-64.4
Acholi,Lamwo District,Anaka Health Centre II,3,2,9,20,20,-5.5
Lango,Amolatar District,Anamwany Health Centre III,3,2,-3,122,322,5.4
Lango,Alebtong District,Anara Health Centre III,3,3,6,102,102,5
South Central,Wakiso District,Anastasiass Mwebaza Health Centre II,,,,,,
North Central,Mubende District,Anbar Hospital,3,2,41,13,14,28.6
West Nile,Terego District,Andelizu Health Centre II,3,2,-19,63,64,-91.1
West Nile,Arua City,Andelizu Medical Centre,3,2,,,,
Tooro,Bunyangabu District,Andre Medical Health Centre II,3,2,,,,
South Central,Wakiso District,Andrena Medical Health Centre III,,,,,,
Kampala,Kampala District,Andrew Medical Centre,3,3,,,,
Lango,Otuke District,Anepmoroto Health Centre III,3,3,2,65,65,13.5
Kampala,Kampala District,Anex Medical Centre,3,0,,,,
Acholi,Pader District,Angagura Health Centre III,3,3,2,173,173,41.3
West Nile,Nebbi District,Angal Hospital,3,3,36,141,141,-12.8
Acholi,Gulu District,Angaya Health Centre III,3,2,-3,40,40,-30.5
South Central,Lyantonde District,Angel Drug Shop,,,,,,
Kampala,Kampala District,Angelina Domiciliary Clinic,,,,,,
South Central,Wakiso District,Angelina General Clinic,3,2,,,,
Kampala,Kampala District,Angelina Maternity Clinic,,,,,,
Ankole,Mbarara District,Angella Domiciliary Health Centre II,3,3,,,,
South Central,Wakiso District,Angels Of Hope Medical Clinic,,,,,,
Teso,Kapelebyong District,Angerepo Health Centre II,3,3,5,54,54,10.9
Lango,Alebtong District,Angetta Health Centre III,3,3,7,168,168,33.1
Acholi,Pader District,Angole Health Centre II,3,2,-31,17,17,92.8
Lango,Kwania District,Aninolal Health Centre II,3,2,1,90,90,-202.2
Ankole,Mbarara City,Ankole Hospital,3,3,,,,
Ankole,Bushenyi District,Ankole Tea Factory Health Centre II,3,3,-70,17,17,-33.3
